iter	Passed	Remaining
417	2689	3744
418	2694	3736
419	2701	3730
420	2706	3722
421	2712	3714
422	2718	3708
423	2725	3702
424	2733	3697
425	2738	3690
426	2743	3682
427	2750	3675
428	2755	3667
429	2760	3659
430	2766	3652
431	2772	3645
432	2778	3638
433	2784	3631
434	2791	3625
435	2797	3618
436	2804	3613
437	2812	3609
438	2818	3601
439	2823	3593
440	2829	3587
441	2835	3579
442	2840	3571
443	2853	3572
444	2862	3569
445	2869	3564
446	2877	3559
447	2884	3553
448	2890	3547
449	2898	3542
450	2905	3536
451	2913	3532
452	2918	3524
453	2924	3517
454	2930	3510
455	2937	3503
456	2953	3509
457	2960	3503
458	2967	3497
459	2973	3491
460	2979	3483
461	2985	3476
462	2991	3469
463	2997	3462
464	3003	3455
465	3010	3449
466	3016	3442
467	3021	3434
468	3027	3428
469	3034	3421
470	3040	3415
471	3045	3407
472	3051	3399
473	3058	3393
474	3063	3386
475	3068	3378
476	3076	3373
477	3081	3365
478	3089	3360
479	3096	3354
480	3103	3348
481	3109	3341
482	3115	3335
483	3124	3330
484	3129	3323
485	3135	3316
486	3142	3309
487	3148	3303
488	3155	3297
489	3160	3289
490	3166	3282
491	3173	3276
492	3179	3269
493	3185	3262
494	3192	3256
495	3198	3249
496	3205	3243
497	3211	3237
498	3218	3231
499	3223	3223
500	3229	3216
501	3235	3210
502	3240	3202
503	3246	3194
504	3252	3188
505	3258	3181
506	3263	3173
507	3270	3167
508	3276	3160
509	3282	3154
510	3288	3146
511	3294	3139
512	3301	3134
513	3306	3126
514	3311	3118
515	3318	3112
516	3324	3105
517	3330	3099
518	3336	3092
519	3343	3086
520	3349	3079
521	3355	3072
522	3360	3065
523	3367	3059
524	3372	3051
525	3378	3044
526	3384	3037
527	3391	3032
528	3413	3039
529	3423	3035
530	3432	3031
531	3437	3023
532	3442	3016
533	3448	3009
534	3455	3002
535	3461	2996
536	3466	2988
537	3471	2981
538	3476	2973
539	3482	2966
540	3487	2958
541	3492	2951
542	3498	2944
543	3504	2937
544	3510	2930
545	3518	2925
546	3524	2918
547	3530	2912
548	3536	2905
549	3542	2898
550	3548	2891
551	3553	2883
552	3559	2877
553	3564	2869
554	3569	2862
555	3576	2855
556	3582	2849
557	3588	2842
558	3594	2835
559	3599	2828
560	3605	2821
561	3611	2814
562	3616	2807
563	3622	2800
564	3628	2793
565	3635	2787
566	3641	2780
567	3646	2773
568	3651	2766
569	3658	2760
570	3664	2752
571	3669	2745
572	3675	2738
573	3680	2731
574	3686	2724
575	3693	2718
576	3699	2712
577	3706	2705
578	3712	2699
579	3717	2692
580	3723	2685
581	3728	2678
582	3734	2670
583	3741	2664
584	3746	2658
585	3752	2651
586	3758	2644
587	3764	2637
588	3771	2631
589	3776	2624
590	3780	2616
591	3788	2610
592	3793	2603
593	3798	2596
594	3805	2590
595	3811	2583
596	3816	2576
597	3822	2569
598	3828	2563
599	3835	2556
600	3841	2550
601	3846	2543
602	3853	2536
603	3858	2529
604	3864	2522
605	3870	2516
606	3876	2509
607	3882	2503
608	3887	2496
609	3893	2489
610	3900	2483
611	3906	2476
612	3915	2471
613	3921	2465
614	3927	2458
615	3933	2452
616	3940	2446
617	3947	2440
618	3953	2433
619	3958	2426
620	3965	2420
621	3970	2413
622	3977	2406
623	3984	2400
624	3990	2394
625	3995	2387
626	4002	2381
627	4009	2374
628	4015	2368
629	4020	2361
630	4026	2354
631	4033	2348
632	4039	2341
633	4045	2335
634	4053	2329
635	4059	2323
636	4065	2317
637	4072	2310
638	4080	2305
639	4085	2297
640	4090	2291
641	4097	2285
642	4103	2278
643	4110	2272
644	4115	2265
645	4122	2259
646	4129	2253
647	4135	2246
648	4140	2239
649	4147	2233
650	4153	2226
651	4159	2220
652	4164	2213
653	4170	2206
654	4176	2199
655	4182	2193
656	4188	2186
657	4194	2180
658	4201	2173
659	4206	2167
660	4213	2160
661	4219	2154
662	4226	2148
663	4231	2141
664	4236	2134
665	4243	2128
666	4248	2121
667	4254	2114
668	4261	2108
669	4266	2101
670	4274	2095
671	4279	2088
672	4284	2081
673	4291	2075
674	4296	2068
675	4302	2061
676	4309	2056
677	4316	2049
678	4322	2043
679	4327	2036
680	4332	2029
681	4338	2023
682	4344	2016
683	4349	2009
684	4355	2002
685	4362	1996
686	4367	1989
687	4373	1983
688	4378	1976
689	4383	1969
690	4390	1963
691	4395	1956
692	4401	1949
693	4407	1943
694	4412	1936
695	4418	1930
696	4424	1923
697	4431	1917
698	4437	1910
699	4443	1904
700	4448	1897
701	4455	1891
702	4460	1884
703	4466	1877
704	4473	1871
705	4478	1865
706	4485	1858
707	4491	1852
708	4497	1845
709	4504	1839
710	4509	1833
711	4516	1826
712	4522	1820
713	4528	1813
714	4534	1807
715	4540	1800
716	4545	1794
717	4552	1788
718	4559	1781
719	4566	1775
720	4571	1769
721	4577	1762
722	4584	1756
723	4589	1749
724	4596	1743
725	4603	1737
726	4609	1731
727	4616	1725
728	4622	1718
729	4627	1711
730	4634	1705
731	4639	1698
732	4645	1691
733	4650	1685
734	4656	1678
735	4662	1672
736	4668	1665
737	4674	1659
738	4680	1653
739	4686	1646
740	4691	1639
741	4699	1634
742	4705	1627
743	4711	1621
744	4717	1614
745	4722	1607
746	4729	1601
747	4735	1595
748	4740	1588
749	4759	1586
750	4765	1579
751	4770	1573
752	4776	1566
753	4782	1560
754	4787	1553
755	4793	1547
756	4799	1540
757	4806	1534
758	4812	1527
759	4817	1521
760	4822	1514
761	4829	1508
762	4835	1501
763	4841	1495
764	4849	1489
765	4854	1482
766	4861	1476
767	4866	1470
768	4871	1463
769	4878	1457
770	4883	1450
771	4889	1444
772	4896	1437
773	4901	1431
774	4909	1425
775	4915	1418
776	4921	1412
777	4926	1405
778	4931	1399
779	4938	1392
780	4943	1386
781	4949	1379
782	4956	1373
783	4962	1367
784	4967	1360
785	4975	1354
786	4981	1348
787	4988	1342
788	4995	1335
789	5001	1329
790	5007	1323
791	5012	1316
792	5017	1309
793	5023	1303
794	5028	1296
795	5033	1290
796	5039	1283
797	5046	1277
798	5051	1270
799	5056	1264
800	5061	1257
801	5067	1251
802	5073	1244
803	5078	1237
804	5084	1231
805	5092	1225
806	5102	1220
807	5108	1213
808	5113	1207
809	5120	1200
810	5125	1194
811	5130	1187
812	5136	1181
813	5141	1174
814	5146	1168
815	5152	1161
816	5159	1155
817	5165	1149
818	5171	1142
819	5176	1136
820	5182	1129
821	5188	1123
822	5194	1117
823	5201	1110
824	5205	1104
825	5210	1097
826	5217	1091
827	5223	1085
828	5232	1079
829	5237	1072
830	5242	1066
831	5249	1060
832	5255	1053
833	5260	1047
834	5266	1040
835	5271	1034
836	5276	1027
837	5283	1021
838	5289	1015
839	5296	1008
840	5301	1002
841	5306	995
842	5313	989
843	5319	983
844	5324	976
845	5330	970
846	5336	963
847	5341	957
848	5347	951
849	5352	944
850	5357	937
851	5364	931
852	5369	925
853	5373	918
854	5380	912
855	5385	905
856	5390	899
857	5396	893
858	5403	886
859	5408	880
860	5414	874
861	5419	867
862	5425	861
863	5430	854
864	5436	848
865	5442	842
866	5448	835
867	5453	829
868	5460	823
869	5466	816
870	5471	810
871	5477	804
872	5482	797
873	5498	792
874	5510	787
875	5518	781
876	5526	775
877	5531	768
878	5536	762
879	5542	755
880	5547	749
881	5552	742
882	5558	736
883	5563	730
884	5568	723
885	5574	717
886	5580	710
887	5585	704
888	5590	698
889	5595	691
890	5600	685
891	5607	678
892	5612	672
893	5617	666
894	5623	659
895	5628	653
896	5634	646
897	5639	640
898	5645	634
899	5651	627
900	5657	621
901	5662	615
902	5668	608
903	5674	602
